SEX,MALE.STAGE,FEMALE.STAGE,CONFIRM.,filename_image,image_size,bgr_pixel_m,bgr_pixel_f,hsv_pixel_m,hsv_pixel_f,lab_pixel_m,lab_pixel_f,ycrcb_pixel_m,ycrcb_pixel_f,bgr,hsv,lab,ycrb,,BEST,bgr_perc_f_total,bgr_perc_m_total,bgr_perc_f_gonad,bgr_perc_m_gonad,bgr_perc_gonad_total,hsv_perc_f_total,hsv_perc_m_total,hsv_perc_f_gonad,hsv_perc_m_gonad,hsv_perc_gonad_total,lab_perc_f_total,lab_perc_m_total,lab_perc_f_gonad,lab_perc_m_gonad,lab_perc_gonad_total,ycrcb_perc_f_total,ycrcb_perc_m_total,ycrcb_perc_f_gonad,ycrcb_perc_m_gonad,ycrcb_perc_gonad_total,magnification
H,5,5,,20180924-angasi149-10x-tiled.tif,17870556,1285122.5,0,1153358.5,6689806,2365146,17716103.5,1429678,17762948.5,,,,,,,0,7.191284367,0,100,7.191284367,37.43479498,6.453959798,85.29473021,14.70526979,43.88875478,99.1357152,13.23487641,88.22211735,11.77788265,112.3705916,99.3978503,8.000187571,92.55089969,7.449100309,107.3980379,10x
H,5,5,,20180924-angasi149-40x.tif,4915200,1081603.5,462680.5,1286496.5,2114086,1463864,670227,552902,3935668,,,,,,,9.41325887,22.00527954,29.96084269,70.03915731,31.41853841,43.01118978,26.1738383,62.1683491,37.8316509,69.18502808,13.63580322,29.78238932,31.40573668,68.59426332,43.41819255,80.07137044,11.24881999,87.68200117,12.31799883,91.32019043,40x
H,5,5,,20180924-angasi149-20x-scale.tif,307200,0,54661,0,106750.5,1,287177.5,0,291599.5,,,,,,,17.79329427,0,100,0,17.79329427,34.74951172,0,100,0,34.74951172,93.48225911,0.000325521,99.99965178,0.000348215,93.48258464,94.92171224,0,100,0,94.92171224,20x
H,5,5,,20180924-angasi149-20x.tif,4915200,0,3360182.5,0,961039.5,1701,4731579,0,4739529.5,,,,,,,68.36308797,0,100,0,68.36308797,19.55239868,0,100,0,19.55239868,96.26422119,0.034606934,99.96406298,0.035937025,96.29882813,96.42597453,0,100,0,96.42597453,20x
H,5,5,,20180924-angasi149-40x-scale.tif,307200,58685,6688.5,71157.5,198689,78237,8863,24818.5,229495,,,,,,,2.177246094,19.1031901,10.23120989,89.76879011,21.2804362,64.67740885,23.1632487,73.63037875,26.36962125,87.84065755,2.885091146,25.46777344,10.17566016,89.82433984,28.35286458,74.70540365,8.078938802,90.24098209,9.759017905,82.78434245,40x
H,1,1,,20180924-angasi152-10x-tiled-scale.tif,17832750,648249.5,0,705359.5,7482280.5,1012401,7606491,869160,7760440,,,,,,,0,3.635162832,0,100,3.635162832,41.95808554,3.955416299,91.38506945,8.614930554,45.91350184,42.65461581,5.677200656,88.25369897,11.74630103,48.33181646,43.51790946,4.873953821,89.92815426,10.07184574,48.39186329,10x
H,1,1,,20180924-angasi152-10x-tiled.tif,17832750,1024484,0,730972.5,1624039,1743723,17284774,1289158.5,17654399.5,,,,,,,0,5.744958013,0,100,5.744958013,9.107058642,4.099045296,68.9609796,31.0390204,13.20610394,96.92713687,9.778205829,90.8362547,9.163745303,106.7053427,98.99987102,7.229162636,93.19473934,6.805260659,106.2290337,10x
H,1,1,,20180924-angasi152-40x-2-scale.tif,307200,66366,0,101190.5,264200.5,88988.5,4907.5,38214.5,268266,,,,,,,0,21.60351563,0,100,21.60351563,86.00276693,32.93961589,72.30624181,27.69375819,118.9423828,1.59749349,28.96761068,5.226527222,94.77347278,30.56510417,87.32617188,12.43961589,87.53118061,12.46881939,99.76578776,40x
H,1,1,,20180924-angasi152-40x-2.tif,4915200,1149341.5,240660,1760197.5,4263980.5,1595455.5,186416.5,715596.5,4352564,,,,,,,4.896240234,23.38341268,17.31365038,82.68634962,28.27965291,86.75090535,35.81130981,70.78111736,29.21888264,122.5622152,3.792653402,32.45962524,10.46183452,89.53816548,36.25227865,88.55314128,14.55884806,85.88054778,14.11945222,103.1119893,40x
H,1,1,,20180924-angasi152-40x-scale.tif,307200,55694,13300.5,64541.5,137575.5,77724,38893.5,26631,238522.5,,,,,,,4.329589844,18.12955729,19.27762358,80.72237642,22.45914714,44.78369141,21.00960286,68.06725807,31.93274193,65.79329427,12.66064453,25.30078125,33.35134092,66.64865908,37.96142578,77.64404297,8.668945313,89.95638376,10.04361624,86.31298828,40x
